Cliente;Regional;Designação;Descrição;Serviço;Banda Contratada;Banda Ativada;OS Ativação;Data OS;Tipo OS;Data Ativação;Contrato;Aditivo;Estação Ponta A;Estação Ponta B;Valor;Previsão;Status;Último Evento;Observação
INFOSYSTEM TELECOMUNICAÇÕES E INFORMÁTICA LTDA;Rio de Janeiro;MGBL000021;INFOSYSTEM;BL;50;50;2020/2015/DC/4600;27/11/2015;Contrato;07/03/2016;4760/009/2015;;MGIII0TR001;MGIII0TR001;R$ 3.046,00 ;00/00/0000;operação;alteração para AS;"10/08/2016 - Solicitado a liberação do AS junto aos parceiros Telebras e a elaboração do projeto e topologia do cliente.
10/08/2016 - Mudança de Rota Estática para BGP: ASN do Cliente: 265401 / IPV-4: 168.194.224.0/22 /  IPV-6: 2804:3684::/32"
Infothel Net Telecom Ltda - ME;;MABL000016;INFOTHEL NET;BL;0;0;;05/09/2013;Contrato;14/10/2013;;;MAGJU0PP001;MAGJU0PP001;R$ 0,00 ;00/00/0000;desativado;desativado;OS de desativação recebida. Circuito desativado
INFRAERO - EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUÁRIA;Fortaleza;AMAC000004;INFRAERO EDUARDO GOMES;AC;10;10;0869/2014/4400/4600;31/01/2014;Contrato;14/10/2014;1º T. aj. AC.3/2013;;AMMNS0PP002;desconhecido;R$ 0,00 ;00/00/0000;operação;ativado;
INFRAERO - EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUÁRIA;Fortaleza;BAAC000004;INFRAERO DEP. LEM;AC;10;10;0864/2014/4400/4600;31/01/2014;Contrato;24/07/2014;ACORDO - Nº 03 /2013;;BASDR0PM005;BASDR0PM005;R$ 0,00 ;00/00/0000;operação;ativado; 
INFRAERO - EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUÁRIA;Fortaleza;CEAC000003;INFRAERO - PINTO MARTINS;AC;10;10;0785/2013/4400/4600;28/11/2013;Contrato;19/12/2013;;;CEFLA0PM004;CEFLA0PM004;R$ 0,00 ;00/00/0000;operação;mudança de configuração;01/08/2016 - Mudança provisionamento IP Transito.
INFRAERO - EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUÁRIA;Fortaleza;MGAC000004;INFRAERO PAMPULHA;AC;10;10;0860/2014/4400/4600;31/01/2014;Contrato;05/02/2015;;;MGBHE0PM014;MGBHE0PM014;R$ 0,00 ;00/00/0000;operação;ativado;
INFRAERO - EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUÁRIA;Fortaleza;MGAC000005;INFRAERO CARLOS PRATES;AC;10;0;0870/2013/4400/4600;31/01/2014;Contrato;;;;desconhecido;desconhecido;R$ 0,00 ;28/02/2014;cancelado;cancelado;18/09 - Recebida OS de Cancelamento de Ativação da Comercial
INFRAERO - EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUÁRIA;Fortaleza;MGAC000006;INFRAERO CONFINS;AC;10;0;0873/2014/4400/4600;31/01/2014;Contrato;;;;desconhecido;desconhecido;R$ 0,00 ;00/00/0000;cancelado;cancelado;"15/05 - Encaminhado para Engenharia DT_Eng_Dados, a solicitação de canelamento da ativação
14/05 - Recebido do comercial OS de Cancelamento da ativação "
INFRAERO - EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUÁRIA;Fortaleza;MTAC000004;INFRAERO MARECHAL RONDON;AC;10;10;0867/2014/4400/4600;31/01/2014;Contrato;06/06/2014;;;MTVAZ0TC002;MTVAZ0TC002;R$ 0,00 ;00/00/0000;operação;ativado;
INFRAERO - EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUÁRIA;Fortaleza;PEAC000003;INFRAERO - GUARARAPES;AC;10;10;0779/2013/4400/4600;27/11/2013;Contrato;27/02/2014;;;PERCE0PP001;PERCE0PP001;R$ 0,00 ;00/00/0000;operação;ativado;
INFRAERO - EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUÁRIA;Fortaleza;PRAC000004;INFRAERO AFONSO PENA;AC;10;10;0868/2014/4400/4600;31/01/2014;Contrato;19/08/2014;;;PRSJP0PM001;PRSJP0PM001;R$ 0,00 ;00/00/0000;operação;ativado;
INFRAERO - EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUÁRIA;Fortaleza;RJAC000005;INFRAERO JACAREPAGUA;AC;10;0;0861/2014/4400/4600;31/01/2014;Contrato;;;;desconhecido;desconhecido;R$ 0,00 ;29/05/2014;instalação;pend. implantação;"09/06 - Devido aos diversos rompimentos da FO devido a obra do BrT no RJ em um dos pontos foi construído uma rodoviária em cima do trajeto do duto.  Terceirizada verificando a melhor forma de repassar a FO para atendimento. Pendente ainda projeto.
22/04 - Joel informou que haverá uma reunião com Infraero em 29/04 para definir os pontos pendentes. Paralelamente engenharia está trabalhando em outro trecho da fibra que está rompido prev. 30/04 e irá entregar o circuito até 30/05
15/04 - Trecho de FO parcialmente recuperado. Engenharia pediu apoio para a área de Operações para identificar o defeito. Previsão final de maio ativar o circuito
25/02 - Aguardando liberação da OS no SAP para a empreiteira iniciar obra. 
19/11 - Fibra lançada porém a obra do Brt arrebentou toda a FO, sendo necessário fazer toda a instalação novamente."
INFRAERO - EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUÁRIA;Fortaleza;RJAC000006;INFRAERO GALEAO;AC;10;0;0862/2014/4400/4600;31/01/2014;Contrato;;;;desconhecido;desconhecido;R$ 0,00 ;00/00/0000;cancelado;cancelado;15/05 - Recebido OS de cancelamento da Ativação.  Encaminhado OS para Engenharia desativar o PM.
INFRAERO - EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUÁRIA;Fortaleza;RJAC000007;INFRAERO SANTOS DUMONT;AC;10;10;0863/2014/4400/4600;31/01/2014;Contrato;28/04/2014;;;RJRJO0PM011;desconhecido;R$ 0,00 ;00/00/0000;operação;ativado;
INFRAERO - EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUÁRIA;Fortaleza;RNAC000005;INFRAERO AUGUSTO SEVERO;AC;10;0;0871/2014/4400/4600;31/01/2014;Contrato;;;;desconhecido;desconhecido;R$ 0,00 ;00/00/0000;cancelado;cancelado;03/02 - Circuito cancelado. Solicitado liberação de facilidades. Engenharia de Acesso (Bruno Souza) irá retirar o rádio Ericsson instalado.
INFRAERO - EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUÁRIA;Fortaleza;RSAC000004;INFRAERO SALGADO FILHO;AC;10;10;0872/2014/4400/4600;31/01/2014;Contrato;31/07/2014;;;RSPAE0PM004;RSPAE0PM004;R$ 0,00 ;00/00/0000;operação;ativado;
INFRAERO - EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUÁRIA;Fortaleza;SPAC000004;INFRAERO CAMPO  DE MARTE;AC;10;0;0865/2014/4400/4600;31/01/2014;Contrato;;;;desconhecido;desconhecido;R$ 0,00 ;00/00/0000;cancelado;cancelado;22/06 - Recebido OS de cancelamento da ativação
INFRAERO - EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUÁRIA;Fortaleza;SPAC000005;INFRAERO CONGONHAS;AC;10;0;0866/2014/4400/4600;31/01/2014;Contrato;;;;desconhecido;desconhecido;R$ 0,00 ;00/00/0000;cancelado;cancelado;22/06 - Recebido OS de cancelamento da ativação
INFRAMERICA CONCESSIONARIA DO AEROPORTO DE BRASILIA;Brasília;DFAC000062;INFRAMERICA;AC;50;50;0135/2016/DC/4600;22/03/2016;Contrato;26/04/2016;4730/014/2016;;DFBSA0PM012;desconhecido;R$ 8.000,00 ;00/00/0000;operação;ativado;26/04/16 - Circuito ativado e validado com o cliente.
INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA;Governo;RJL2000017;IBGE - ENCE-CBPF;L2;20;20;090/2015/DC/4600;08/10/2015;Oportunidade;04/05/2016;4760/010/2015;;RJRJO0PM012;RJRJO0PM002;R$ 5.932,21 ;00/00/0000;operação;ativado;04/05/16 - Circuito ativado
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;Governo;ACL3000002;IBAMA;L3;10;0;0103/2016/DC/4600;06/04/2016;Oportunidade;;;;desconhecido;desconhecido;R$ 12.572,39 ;16/06/2016;instalação;pend. implantação;"15/08/2016 - Aguardando licenciamento.
08/08/2016 - Aguardando licenciamento.
01/08/2016 - Vistoria realizada, protocolo do licenciamento em andamento.
25/07/2016 - Vistoria realizada em 21/07, projeto até 29/07.
18/07/2016 - Vistoria agendada para 21/07, projeto até 29/07.
12/07/2016 - Vistoria agendada para 21/07, projeto até 29/07.
05/07/2016 - Em agendamento de vistoria, previsto data da vistoria até 08/07."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;Governo;AML3000004;IBAMA;L3;10;0;0104/2016/DC/4600;06/04/2016;Oportunidade;;;;desconhecido;desconhecido;R$ 13.519,81 ;16/06/2016;instalação;pend. implantação;"15/08/2016 - Protocolado em 08/08. Previsão de inicio de obra 19/09
08/08/2016 - Aguardando licenciamento.
01/08/2016 - Vistoria realizada, protocolo do licenciamento em andamento.
25/07/2016 - Vistoria realizada em 21/07, projeto até 29/07.
18/07/2016 - Vistoria agendada para 21/07, projeto até 29/07.
12/07/2016 - Vistoria agendada para 21/07, projeto até 29/07.
05/07/2016 - Em agendamento de vistoria, previsto data da vistoria até 08/07.
27/06/2016 - Em agendamento de vistoria, previsto para até 01/07.
20/06/2016 - Em agendamento de vistoria e projeto para atendimento via rede FO Telebras"
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;Governo;DFL3000023;IBAMA;L3;10;0;0108/2016/DC/4600;06/04/2016;Oportunidade;;;;desconhecido;desconhecido;R$ 12.572,39 ;30/06/2016;instalação;pend. implantação;"15/08/2016 - Vistoria realizada. Projeto será entregue em 24/08. Inicio de obra 29/08
08/08/2016 - Vistoria em andamento (08/08)
08/08/2016 - Vistoria em andamento (08/08)
01/08/2016 - Em agendamento da vistoria, previsto data para 02/08.
25/07/2016 - Vistoria aguardando agendamento.
18/07/2016 - Vistoria agendada para até 25/06, projeto até 10/08.
12/07/2016 - Vistoria agendada para até 22/06, projeto até 10/08.
05/07/2016 - Em agendamento de vistoria, previsto data da vistoria até 08/07.
27/06/2016 -  Em agendamento de vistoria previsto, para após dia 10/07.
20/06/2016 - Em agendamento de vistoria e projeto para atendimento via rede FO Telebras
30/05/2016 - Em agendamento de vistoria
23/05/2016 - Em agendamento de vistoria
16/05/2016 - Em agendamento de vistoria
09/05/2016 - Em agendamento de vistoria
02/05/2016 - Em aditivo do contrato com fornecedor local (HC)
25/04/2016 - Vistoria agendada para 29/04.
18/04/2016 - Em agendamento de vistoria, previsto para até 22/04.
11/04/2016 - Em agendamento de vistoria com o cliente.
05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias.

05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;Governo;DFL3000024;IBAMA;L3;10;0;0110/2016/DC/4600;06/04/2016;Oportunidade;;;;desconhecido;desconhecido;R$ 12.572,39 ;28/06/2016;instalação;pend. implantação;"15/08/2016 - Vistoria realizada. Projeto será entregue em 24/08. Inicio de obra 29/08
08/08/2016 - Vistoria em andamento (08/08)
01/08/2016 - Em agendamento da vistoria, previsto data para 02/08.
25/07/2016 - Vistoria aguardando agendamento.
18/07/2016 - Vistoria agendada para até 25/06, projeto até 10/08.
12/07/2016 - Vistoria agendada para até 22/06, projeto até 10/08.
05/07/2016 - Em agendamento de vistoria, previsto data da vistoria até 08/07.
27/06/2016 -  Em agendamento de vistoria previsto, para após dia 10/07.
20/06/2016 - Em agendamento de vistoria e projeto para atendimento via rede FO Telebras
30/05/2016 - Em agendamento de vistoria
23/05/2016 - Em agendamento de vistoria
16/05/2016 - Em agendamento de vistoria
09/05/2016 - Em agendamento de vistoria
02/05/2016 - Em aditivo do contrato com fornecedor local (HC)
25/04/2016 - Vistoria agendada para 29/04.
18/04/2016 - Em agendamento de vistoria, previsto para até 22/04.
11/04/2016 - Em agendamento de vistoria com o cliente.
05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias.

05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;Governo;DFL3000025;IBAMA;L3;300;0;0111/2016/DC/4600;06/04/2016;Oportunidade;;;;desconhecido;desconhecido;R$ 115.638,90 ;30/06/2016;instalação;pend. implantação;"15/08/2016 - Responsável local no cliente (Daniel Vasconcelos) informa que o ponto não será atendido, informação vinda de campo, será oficializada.
08/08/2016 - Responsável local no cliente (Daniel Vasconcelos) informa que o ponto não será atendido, informação vinda de campo, será oficializada.
01/08/2016 - Em agendamento da vistoria, previsto data para 02/08.
25/07/2016 - Vistoria aguardando agendamento.
18/07/2016 - Vistoria agendada para até 25/06, projeto até 10/08.
12/07/2016 - Vistoria agendada para até 22/06, projeto até 10/08.
05/07/2016 - Em agendamento de vistoria, previsto data da vistoria até 08/07.
27/06/2016 -  Em agendamento de vistoria previsto, para após dia 10/07.
20/06/2016 - Em agendamento de vistoria e projeto para atendimento via rede FO Telebras
30/05/2016 - Em agendamento de vistoria
23/05/2016 - Em agendamento de vistoria
16/05/2016 - Em agendamento de vistoria
09/05/2016 - Em agendamento de vistoria
02/05/2016 - Em aditivo do contrato com fornecedor local (HC)
25/04/2016 - Vistoria agendada para 28/04.
18/04/2016 - Em agendamento de vistoria, previsto para até 22/04.
11/04/2016 - Em agendamento de vistoria com o cliente. 
05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;Governo;DFL3000026;IBAMA;L3;40;0;0105/2016/DC/4600;06/04/2016;Oportunidade;;;;desconhecido;desconhecido;R$ 7.882,75 ;30/06/2016;instalação;pend. implantação;"15/08/2016 - Vistoria realizada, aguardando entrega do projetos até 19/08.
08/08/2016 - Vistoria realizada, aguardando entrega do projetos.
01/08/2016 - Em agendamento da vistoria, previsto data para 02/08.
25/07/2016 - Vistoria aguardando agendamento.
18/07/2016 - Vistoria agendada para até 25/06, projeto até 10/08.
12/07/2016 - Vistoria agendada para até 22/06, projeto até 10/08.
05/07/2016 - Em agendamento de vistoria, previsto data da vistoria até 08/07.
27/06/2016 -  Em agendamento de vistoria previsto, para após dia 10/07.
20/06/2016 - Em agendamento de vistoria e projeto para atendimento via rede FO Telebras
30/05/2016 - Em agendamento de vistoria
23/05/2016 - Em agendamento de vistoria
16/05/2016 - Em agendamento de vistoria
09/05/2016 - Em agendamento de vistoria
02/05/2016 - Em aditivo do contrato com fornecedor local (HC)
25/04/2016 - Vistoria agendada para 28/04.
18/04/2016 - Em agendamento de vistoria, previsto para até 22/04.
11/04/2016 - Em agendamento de vistoria com o cliente.
05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;Governo;DFL3000027;IBAMA;L3;40;0;0106/2016/DC/4600;06/04/2016;Oportunidade;;;;desconhecido;desconhecido;R$ 7.882,75 ;30/06/2016;instalação;pend. implantação;"15/08/2016 - Vistoria realizada, aguardando entrega do projetos até 19/08.
08/08/2016 - Vistoria realizada, aguardando entrega do projetos.
01/08/2016 - Em agendamento da vistoria, previsto data para 02/08
25/07/2016 - Vistoria aguardando agendamento.
18/07/2016 - Vistoria agendada para até 25/06, projeto até 10/08.
12/07/2016 - Vistoria agendada para até 22/06, projeto até 10/08.
05/07/2016 - Em agendamento de vistoria, previsto data da vistoria até 08/07.
27/06/2016 -  Em agendamento de vistoria previsto, para após dia 10/07.
20/06/2016 - Em agendamento de vistoria e projeto para atendimento via rede FO Telebras
30/05/2016 - Em agendamento de vistoria
23/05/2016 - Em agendamento de vistoria
16/05/2016 - Em agendamento de vistoria
02/05/2016 - Em aditivo do contrato com fornecedor local (HC)
25/04/2016 - Vistoria agendada para 28/04.
18/04/2016 - Em agendamento de vistoria, previsto para até 22/04.
11/04/2016 - Em agendamento de vistoria com o cliente.
05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;Governo;DFL3000028;IBAMA;L3;150;0;0107/2016/DC/4600;06/04/2016;Oportunidade;;;;desconhecido;desconhecido;R$ 64.019,70 ;30/06/2016;instalação;pend. implantação;"15/08/2016 - Vistoria realizada, aguardando entrega do projetos para 19/08
08/08/2016 - Vistoria realizada, aguardando entrega do projetos.
01/08/2016 - Em agendamento da vistoria, previsto data para 02/08.
25/07/2016 - Vistoria aguardando agendamento.
18/07/2016 - Vistoria agendada para até 22/07, projeto até 10/08.
12/07/2016 - Vistoria agendada para até 22/06, projeto até 10/08.
05/07/2016 - Em agendamento de vistoria, previsto data da vistoria até 08/07.
27/06/2016 -  Em agendamento de vistoria previsto, para após dia 10/07.
20/06/2016 - Em agendamento de vistoria e projeto para atendimento via rede FO Telebras
30/05/2016 - Em agendamento de vistoria
23/05/2016 - Em agendamento de vistoria
16/05/2016 - Em agendamento de vistoria
09/05/2016 - Em agendamento de vistoria
02/05/2016 - Em aditivo do contrato com fornecedor local (HC)
25/04/2016 - Vistoria agendada para 28/04.
18/04/2016 - Em agendamento de vistoria, previsto para até 22/04.
11/04/2016 - Em agendamento de vistoria com o cliente.
05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;Governo;MAL3000002;IBAMA;L3;10;0;0109/2016/DC/4600;06/04/2016;Oportunidade;;;;desconhecido;desconhecido;R$ 12.572,39 ;17/06/2016;instalação;pend. implantação;"15/08/2016 - Aguardando protocolo para obtenção do licenciamento.
08/08/2016 - Aguardando protocolo para obtenção do licenciamento.
01/08/2016 - Aguardando licenciamento, previsão para a próxima semana.
25/07/2016 - Projeto entregue em 22/07, aguardando protocolo.
18/07/2016 - Vistoria realizada, aguardando entrega do projeto, até 25/07.
12/07/2016 - Vistoria remarcada para 15/07, projeto até 25/07.
05/07/2016 - Em agendamento de vistoria, previsto data da vistoria até 08/07.
27/06/2016 - Em agendamento de vistoria, previsto para segunda semana de julho.
20/06/2016 - Em agendamento de vistoria e projeto para atendimento via rede FO Telebras"
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;Governo;MGL3000008;IBAMA;L3;20;0;0113/2016/DC/4600;06/04/2016;Oportunidade;;;;desconhecido;desconhecido;R$ 6.614,86 ;16/07/2016;instalação;pend. comercial;"15/08/2016 - Em obra concluida em 12/08. Jumper foi enviado. Aguardando OS definitiva.
08/08/2016 - Em obra, previsto conclusão do acesso de FO para até 12/08.
25/07/2016 - Execução paralisada em função de duto da Prodabel, aguardando orçamento para 25/07, será construido novo trecho. Rede externa está obstruída, previsão 28/07. Dia 02/08 finalizado.
18/07/2016 - Projeto aprovado, inicio de obra agendado para 18/07, conclusão para 29/07.
12/07/2016 - Projeto aprovado, inicio de obra agendado para 18/07, conclusão para 29/07.
05/07/2016 - Vistoria realizada, cliente aguardando recebimento do PC para elaborar o projeto, previsto entrega do PC ao fornecedor para 07/07.
27/06/2016 - Vistoria realizada, aguardando entrega do projeto, previsto entrega do projeto até 30/06.
20/06/2016 - Aguardando OS definitiva para contratação do fornecedor de EILD"
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;Governo;MTL3000004;IBAMA;L3;10;0;0114/2016/DC/4600;06/04/2016;Oportunidade;;;;desconhecido;desconhecido;R$ 13.940,01 ;16/06/2016;instalação;pend. implantação;"15/08/2016 - Aguardando licenciamento, previsto protocolo para até 19/08.
08/08/2016 - Aguardando licenciamento, previsto protocolo para até 12/08.
01/08/2016 - Aguardando licenciamento, previsão para a próxima semana.
25/07/2016 - Projeto entregue, aguardando dada de entrega do licenciamento.
18/07/2016 - Vistoria agendada para 18/07, previsto entrega do projeto para 25/07.
12/07/2016 - Vistoria agendada para 18/07, previsto entrega do projeto para 25/07.
05/07/2016 - Em agendamento de vistoria e projeto para atendimento via FO Telebras, previsto para até 14/07.
27/06/2016 - Em agendamento de vistoria e projeto para atendimento via FO Telebras."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;Governo;PEL3000004;IBAMA;L3;10;0;0112/2016/DC/4600;06/04/2016;Oportunidade;;;;desconhecido;desconhecido;R$ 13.124,21 ;16/06/2016;instalação;pend. implantação;"15/08/2016 - Aguardando licenciamento, previsto liberação e início da obra para 26/08, término para até 16/09.
08/08/2016 - Aguardando licenciamento, previsto liberação e início da obra para 26/08, término para até 16/09.
01/08/2016 - Aguardando licenciamento, previsão para a próxima semana.
25/07/2016 - Projeto entregue. Aguardando protocolo de licenciamento.
18/07/2016 - Protocolo do licenciamento junto a prefeitura previsto para 20/07, prazo de licenciamento 90 dias.
12/07/2016 - Protocolo do licenciamento junto a prefeitura previsto para 13/07, prazo de licenciamento 90 dias.
05/07/2016 - Vistoria realizada em 29/06, projeto em análise da Eng. Telebras, previsto conclusão da análise até 07/07.
27/06/2016 - Em agendamento de vistoria, previsto para segunda semana de julho.
20/06/2016 - Em agendamento de vistoria e projeto para atendimento via rede FO Telebras."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;Governo;RJL3000010;IBAMA;L3;20;0;0116/2016/DC/4600;06/04/2016;Oportunidade;;;;desconhecido;desconhecido;R$ 7.007,72 ;27/06/2016;instalação;pend. comercial;"15/08/2016 -  Aguardando contato da Infraero, necessário informações de localização da tubulação para lançamento da rede interna.
08/08/2016 -  Aguardando contato da Infraero, necessário informações de localização da tubulação para lançamento da rede interna.
25/07/2016 -  Aguardando contato da Infraero, necessário informações de localização da tubulação para lançamento da rede interna.
18/07/2016 - Aguardando contato da Infraero, necessário informações de localização da tubulação para lançamento da rede interna.
12/07/2016 - Aguardando contato da Infraero, necessário informações de localização da tubulação para lançamento da rede interna.
05/07/2016 - Aguardando contato da Infraero, necessário informações de localização da tubulação para lançamento da rede interna.
27/06/2016 - Aguardando contato da Infraero, necessário informações de localização da tubulação para lançamento da rede interna.
20/06/2016 - Em viabilidade de atendimento por link Telebras via Rádio.
06/06/2016 - Aguardando projeto do fornecedor Telebras"
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;Governo;RJL3000011;IBAMA;L3;10;0;0117/2016/DC/4600;05/04/2016;Oportunidade;;;;desconhecido;desconhecido;R$ 13.319,07 ;27/06/2016;instalação;pend. comercial;"15/08/2016 -  Aguardando contato da Infraero, necessário informações de localização da tubulação para lançamento da rede interna.
08/08/2016 -  Aguardando contato da Infraero, necessário informações de localização da tubulação para lançamento da rede interna.
25/07/2016 -  Aguardando contato da Infraero, necessário informações de localização da tubulação para lançamento da rede interna.
18/07/2016 - Aguardando contato da Infraero, necessário informações de localização da tubulação para lançamento da rede interna.
12/07/2016 - Aguardando contato da Infraero, necessário informações de localização da tubulação para lançamento da rede interna.
05/07/2016 - Aguardando contato da Infraero, necessário informações de localização da tubulação para lançamento da rede interna.
27/06/2016 - Aguardando contato da Infraero, necessário informações de localização da tubulação para lançamento da rede interna.
20/06/2016 - Aguardando contato da Infraero, necessário informações de localização da tubulação para lançamento da rede interna.
06/06/2016 - Aguardando contato da Infraero, necessário informações de localização da tubulação para lançamento da rede interna."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;Governo;SEL3000002;IBAMA;L3;10;0;0115/2016/DC/4600;06/04/2016;Oportunidade;;;;desconhecido;desconhecido;R$ 12.934,96 ;08/08/2016;instalação;pend. implantação;"15/08/2016 - Cliente já autorizou, previsão da vistoria até 26/08.
08/08/2016 - Aguardando cliente autorizar data da vistoria.
01/08/2016 - Aguardando cliente autorizar data da vistoria.
25/07/2016 - Aguardando cliente confirmar data da vistoria.
18/07/2016 - Cliente está mudando de endereço, aguardando mudança para agendarmos vistoria, previsto ter a data da vistoria no dia 19/07.
12/07/2016 - Cliente está mudando de endereço, aguardando mudança para agendarmos vistoria, previsto ter a data da vistoria no dia 13/07.
05/07/2016 - Cliente está mudando de endereço, aguardando mudança para agendarmos vistoria, previsto ter a data da vistoria no dia 11/07.
27/06/2016 - Em agendamento de vistoria e projeto para atendimento via FO Telebras."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;Governo;TOL3000002;IBAMA;L3;10;0;0118/2016/4600;06/04/2016;Oportunidade;;;;desconhecido;desconhecido;R$ 12.572,39 ;16/06/2016;instalação;pend. implantação;"15/08/2016 - Em revisão o projeto de rádio, previsão até 19/08 pelo Bruno.
25/07/2016 - Em revisão o projeto de rádio, previsão até 27/07 pelo Bruno.
18/07/2016 - Em viabilidade de atendimento via rádio Telebras.
12/07/2016 - Em viabilidade de atendimento via rádio Telebras.
05/07/2016 - Em viabilidade de atendimento via rádio Telebras.
27/06/2016 - Em viabilidade de atendimento via rádio Telebras.
20/06/2016 - Em viabilidade de atendimento por link Telebras via Rádio, previsto para até 21/06."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;Governo;TOL3000003;IBAMA;L3;10;0;0119/2016/DC/4600;06/04/2016;Oportunidade;;;;desconhecido;desconhecido;R$ 12.572,39 ;16/06/2016;instalação;pend. implantação;"15/08/2016 - Em revisão o projeto de rádio, previsão até 19/08 pelo Bruno.
25/07/2016 - Em revisão o projeto de rádio, previsão até 27/07 pelo Bruno.
18/07/2016 - Em viabilidade de atendimento via rádio Telebras.
12/07/2016 - Em viabilidade de atendimento via rádio Telebras.
05/07/2016 - Em viabilidade de atendimento via rádio Telebras.
27/06/2016 - Em viabilidade de atendimento via rádio Telebras.
20/06/2016 - Em viabilidade de atendimento por link Telebras via Rádio, previsto para até 21/06.
30/05/2016 - Pendência comercial, aguardando OS definitiva para contratação de EILD
23/05/2016 - Em viabilidade para atendimento por EILD / atendimento de rádio Telebras
16/05/2016 - Em viabilidade para atendimento por EILD / atendimento de rádio Telebras
09/05/2016 - Em viabilidade para atendimento por EILD / atendimento de rádio Telebras
02/05/2016 - Em viabilidade para atendimento por EILD / atendimento de rádio Telebras
25/04/2016 - Em viabilidade para atendimento por EILD / atendimento de rádio Telebras
18/04/2016 - Em viabilidade para atendimento por EILD / atendimento de rádio Telebras
11/04/2016 - Em agendamento de vistoria com o cliente.
05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias."
