Cliente;Designação;Descrição;Serviço;Banda Contratada;Banda Ativada;OS Ativação;Data OS;Tipo OS;Data Ativação;Estação;Acesso;Endereço;Cidade;UF;CEP;Estação;Acesso;Endereço B;Cidade;UF;CEP;Contato;Telefone Fixo;Telefone Móvel;Email;Valor;Previsão;Status;Último Evento;Observação
INFRAERO - EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUÁRIA;SPAC000004;INFRAERO CAMPO  DE MARTE;AC;10;0;0865/2014/4400/4600;31/01/2014;Contrato;;desconhecido;Fibra óptica TELEBRAS;;;;;desconhecido;Fibra óptica TELEBRAS;;;;;;;;;R$ 0,00 ;00/00/0000;cancelado;cancelado;22/06 - Recebido OS de cancelamento da ativação
INFRAERO - EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUÁRIA;SPAC000005;INFRAERO CONGONHAS;AC;10;0;0866/2014/4400/4600;31/01/2014;Contrato;;desconhecido;Fibra óptica TELEBRAS;;;;;desconhecido;;;;;;;;;;R$ 0,00 ;00/00/0000;cancelado;cancelado;22/06 - Recebido OS de cancelamento da ativação
INFRAMERICA CONCESSIONARIA DO AEROPORTO DE BRASILIA;DFAC000062;INFRAMERICA;AC;50;50;0135/2016/DC/4600;22/03/2016;Contrato;26/04/2016;DFBSA0PM012;Fibra óptica TELEBRAS;AEROPORTO INTERNACIONAL DE BRASÍLIA - PRESIDENTE JUSCELINO KUBITSCHEK AEREA ESPECIAL;Brasília;DF;;desconhecido;Fibra óptica TELEBRAS;AEROPORTO INTERNACIONAL DE BRASÍLIA - PRESIDENTE JUSCELINO KUBITSCHEK AEREA ESPECIAL;;;;Andre Luis;(61) 3214-6843;(61) 9643-5141;aaraujo@inframerica.aero;R$ 8.000,00 ;22/04/2016;operação;ativado;26/04/16 - Circuito ativado e validado com o cliente.
INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA;RJL2000017;IBGE - ENCE-CBPF;L2;20;20;090/2015/DC/4600;08/10/2015;Oportunidade;04/05/2016;RJRJO0PM012;Fibra óptica TELEBRAS;Escola Nacional de Ciências Estatísticas-ENCE - Rua André Cavalcante, nº 106  Bairro de Fátima;Rio de Janeiro;RJ;20.231-050;RJRJO0PM002;Fibra óptica TELEBRAS;Rede Rio de Computadores  FAPERJ  Centro Brasileiro de Pesquisas Físicas  CBPF - Rua Doutor Xavier Sigaud, nº 153  Urca;Rio de Janeiro;RJ;22.290-180;Márcio Roberto Galhano;(21) 2142-8768;(21) 99781-2227;marcio.galhano@ibge.gov.br;R$ 5.932,21 ;03/02/2016;operação;ativado;04/05/16 - Circuito ativado
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;ACL3000002;IBAMA;L3;10;0;0103/2016/DC/4600;06/04/2016;Oportunidade;;desconhecido;Rádio TELEBRAS;TELEBRAS;;;;desconhecido;Rádio TELEBRAS;Rua Hidelfonso Cordeiro, 285;;;69901-180;Daniel de Souza Vasconcelos;(61) 3316-1544;(61) 8354-396;Daniel.Vasconcelos@ibama.gov.br;R$ 12.572,39 ;16/06/2016;instalação;pend. comercial;30/05/2016 -  Aguardando OS definitiva para contratação de EILD
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;AML3000004;IBAMA;L3;10;0;0104/2016/DC/4600;06/04/2016;Oportunidade;;desconhecido;N/A;TELEBRAS;;;;desconhecido;Fibra óptica TELEBRAS;Rua Ministro João Gonçalves de Souza - s/n - Km1 - BR 319;;;;Daniel de Souza Vasconcelos;(61) 3316-1544;(61) 8354-396;Daniel.Vasconcelos@ibama.gov.br;R$ 13.519,81 ;16/06/2016;instalação;pend. comercial;30/05/2016 -  Aguardando OS definitiva para contratação de EILD
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;DFL3000023;IBAMA;L3;10;0;0108/2016/DC/4600;06/04/2016;Oportunidade;;desconhecido;N/A;TELEBRAS;;;;desconhecido;Fibra óptica TELEBRAS;SAS - Qd. 05 - Lote 05 - BL. H -  5º Andar;;;70058-900;Daniel de Souza Vasconcelos;(61) 3316-1544;(61) 8354-396;Daniel.Vasconcelos@ibama.gov.br;R$ 12.572,39 ;30/06/2016;instalação;pend. implantação;"30/05/2016 - Em agendamento de vistoria
23/05/2016 - Em agendamento de vistoria
16/05/2016 - Em agendamento de vistoria
09/05/2016 - Em agendamento de vistoria
02/05/2016 - Em aditivo do contrato com fornecedor local (HC)
25/04/2016 - Vistoria agendada para 29/04.
18/04/2016 - Em agendamento de vistoria, previsto para até 22/04.
11/04/2016 - Em agendamento de vistoria com o cliente.
05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias.

05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;DFL3000024;IBAMA;L3;10;0;0110/2016/DC/4600;06/04/2016;Oportunidade;;desconhecido;N/A;TELEBRAS;;;;desconhecido;Fibra óptica TELEBRAS;SAS - Qd. 05 - Lote 05 - BL. H - 5º Andar;;;70058-900;Daniel de Souza Vasconcelos;(61) 3316-1544;(61) 8354-396;Daniel.Vasconcelos@ibama.gov.br;R$ 12.572,39 ;28/06/2016;instalação;pend. implantação;"30/05/2016 - Em agendamento de vistoria
23/05/2016 - Em agendamento de vistoria
16/05/2016 - Em agendamento de vistoria
09/05/2016 - Em agendamento de vistoria
02/05/2016 - Em aditivo do contrato com fornecedor local (HC)
25/04/2016 - Vistoria agendada para 29/04.
18/04/2016 - Em agendamento de vistoria, previsto para até 22/04.
11/04/2016 - Em agendamento de vistoria com o cliente.
05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias.

05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;DFL3000025;IBAMA;L3;300;0;0111/2016/DC/4600;06/04/2016;Oportunidade;;desconhecido;Fibra óptica TELEBRAS;TELEBRAS;;;;desconhecido;Fibra óptica TELEBRAS;SCS - Quadra 05 - Bloco E - Ed. Embratel - 5º Andar - Sala 510;;;70818-900;Daniel de Souza Vasconcelos;(61) 3316-1544;(61) 8354-396;Daniel.Vasconcelos@ibama.gov.br;R$ 115.638,90 ;30/06/2016;instalação;pend. implantação;"30/05/2016 - Em agendamento de vistoria
23/05/2016 - Em agendamento de vistoria
16/05/2016 - Em agendamento de vistoria
09/05/2016 - Em agendamento de vistoria
02/05/2016 - Em aditivo do contrato com fornecedor local (HC)
25/04/2016 - Vistoria agendada para 28/04.
18/04/2016 - Em agendamento de vistoria, previsto para até 22/04.
11/04/2016 - Em agendamento de vistoria com o cliente. 
05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;DFL3000026;IBAMA;L3;40;0;0105/2016/DC/4600;06/04/2016;Oportunidade;;desconhecido;Fibra óptica TELEBRAS;TELEBRAS;;;;desconhecido;Fibra óptica TELEBRAS;SCEN Trecho 2 - Ed. Sede Ibama  Blocos E/F;;;70818-900;Daniel de Souza Vasconcelos;(61) 3316-1544;(61) 8354-396;Daniel.Vasconcelos@ibama.gov.br;R$ 7.882,75 ;30/06/2016;instalação;pend. implantação;"30/05/2016 - Em agendamento de vistoria
23/05/2016 - Em agendamento de vistoria
16/05/2016 - Em agendamento de vistoria
09/05/2016 - Em agendamento de vistoria
02/05/2016 - Em aditivo do contrato com fornecedor local (HC)
25/04/2016 - Vistoria agendada para 28/04.
18/04/2016 - Em agendamento de vistoria, previsto para até 22/04.
11/04/2016 - Em agendamento de vistoria com o cliente.
05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;DFL3000027;IBAMA;L3;40;0;0106/2016/DC/4600;06/04/2016;Oportunidade;;desconhecido;Fibra óptica TELEBRAS;TELEBRAS;;;;desconhecido;Fibra óptica TELEBRAS;SCEN Trecho 2 - Ed. Sede Ibama - Bloco B - Sub-Solo;;;70818-900;Daniel de Souza Vasconcelos;(61) 3316-1544;(61) 8354-396;Daniel.Vasconcelos@ibama.gov.br;R$ 7.882,75 ;30/06/2016;instalação;pend. implantação;"30/05/2016 - Em agendamento de vistoria
23/05/2016 - Em agendamento de vistoria
16/05/2016 - Em agendamento de vistoria
02/05/2016 - Em aditivo do contrato com fornecedor local (HC)
25/04/2016 - Vistoria agendada para 28/04.
18/04/2016 - Em agendamento de vistoria, previsto para até 22/04.
11/04/2016 - Em agendamento de vistoria com o cliente.
05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;DFL3000028;IBAMA;L3;150;0;0107/2016/DC/4600;06/04/2016;Oportunidade;;desconhecido;Fibra óptica TELEBRAS;TELEBRAS;;;;desconhecido;Fibra óptica TELEBRAS;SCEN - Trecho 2 - Bl. B - Ed. Sede Ibama;;;70818-900;Daniel de Souza Vasconcelos;(61) 3316-1544;(61) 8354-396;Daniel.Vasconcelos@ibama.gov.br;R$ 64.019,70 ;30/06/2016;instalação;pend. implantação;"30/05/2016 - Em agendamento de vistoria
23/05/2016 - Em agendamento de vistoria
16/05/2016 - Em agendamento de vistoria
09/05/2016 - Em agendamento de vistoria
02/05/2016 - Em aditivo do contrato com fornecedor local (HC)
25/04/2016 - Vistoria agendada para 28/04.
18/04/2016 - Em agendamento de vistoria, previsto para até 22/04.
11/04/2016 - Em agendamento de vistoria com o cliente.
05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;MAL3000002;IBAMA;L3;10;0;0109/2016/DC/4600;06/04/2016;Oportunidade;;desconhecido;Rádio TELEBRAS;TELEBRAS;;;;desconhecido;Rádio TELEBRAS;Rua D. Pedro II - 170 - Centro;;;65900-030;Daniel de Souza Vasconcelos;(61) 3316-1544;(61) 8354-396;Daniel.Vasconcelos@ibama.gov.br;R$ 12.572,39 ;17/06/2016;instalação;pend. comercial;30/05/2016 -  Aguardando OS definitiva para contratação de EILD
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;MGL3000008;IBAMA;L3;20;0;0113/2016/DC/4600;06/04/2016;Oportunidade;;desconhecido;Fibra óptica TELEBRAS;TELEBRAS;;;;desconhecido;Fibra óptica TELEBRAS;Av. do Contorno - 8.121 - Bairro Cidade Jardim;;;30110-051;Daniel de Souza Vasconcelos;(61) 3316-1544;(61) 8354-396;Daniel.Vasconcelos@ibama.gov.br;R$ 6.614,86 ;16/07/2016;instalação;pend. implantação;"30/05/2016 - Aguardando projeto do fornecedor Telebras
23/05/2016 - Aguardando projeto do fornecedor Telebras
16/05/2016 - Aguardando projeto do fornecedor Telebras
09/05/2016 - Aguardando projeto do fornecedor Telebras
02/05/2016 - Aguardando projeto do fornecedor Telebras
25/04/2016 - Vistoria agendada para 26/04.
18/04/2016 - Em agendamento de vistoria, previsto para semana de 25/04.
11/04/2016 - Em agendamento de vistoria com o cliente.
05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;MTL3000004;IBAMA;L3;10;0;0114/2016/DC/4600;06/04/2016;Oportunidade;;desconhecido;Rádio TELEBRAS;TELEBRAS;;;;desconhecido;Rádio TELEBRAS;Rua Rio Branco - 160;;;78740-310;Daniel de Souza Vasconcelos;(61) 3316-1544;(61) 8354-396;Daniel.Vasconcelos@ibama.gov.br;R$ 13.940,01 ;16/06/2016;instalação;pend. comercial;30/05/2016 - Pendência comercial, aguardando OS definitiva para contratação de EILD
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;PEL3000004;IBAMA;L3;10;0;0112/2016/DC/4600;06/04/2016;Oportunidade;;desconhecido;Rádio TELEBRAS;TELEBRAS;;;;desconhecido;Rádio TELEBRAS;Av. 17 de Agosto - 1057;;;52060-590;Daniel de Souza Vasconcelos;(61) 3316-1544;(61) 8354-396;Daniel.Vasconcelos@ibama.gov.br;R$ 13.124,21 ;16/06/2016;instalação;pend. comercial;30/05/2016 - Aguardando OS definitiva para contratação de EILD
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;RJL3000010;IBAMA;L3;20;0;0116/2016/DC/4600;06/04/2016;Oportunidade;;desconhecido;Fibra óptica TELEBRAS;TELEBRAS;;;;desconhecido;Fibra óptica TELEBRAS;Praça XV de Novembro - 42;;;20010-010;Daniel de Souza Vasconcelos;(61) 3316-1544;(61) 8354-396;Daniel.Vasconcelos@ibama.gov.br;R$ 7.007,72 ;27/06/2016;instalação;pend. comercial;06/06/2016 - Aguardando projeto do fornecedor Telebras
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;RJL3000011;IBAMA;L3;10;0;0117/2016/DC/4600;05/04/2016;Oportunidade;;desconhecido;Fibra óptica TELEBRAS;TELEBRAS;;;;desconhecido;Fibra óptica TELEBRAS;Av. Vinte de Janeiro - s/nº;;;;Daniel de Souza Vasconcelos;(61) 3316-1544;(61) 8354-396;Daniel.Vasconcelos@ibama.gov.br;R$ 13.319,07 ;27/06/2016;instalação;pend. comercial;06/06/2016 - Aguardando contato da Infraero, necessário informações de localização da tubulação para lançamento da rede interna.
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;SEL3000002;IBAMA;L3;10;0;0115/2016/DC/4600;06/04/2016;Oportunidade;;desconhecido;Rádio TELEBRAS;TELEBRAS;;;;desconhecido;Rádio TELEBRAS;Av. Coelho e Campos - 521;;;49010-720;Daniel de Souza Vasconcelos;(61) 3316-1544;(61) 8354-396;Daniel.Vasconcelos@ibama.gov.br;R$ 12.934,96 ;08/08/2016;instalação;pend. comercial;30/05/2016 - Pendência comercial, aguardando OS definitiva para contratação de EILD
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;TOL3000002;IBAMA;L3;10;0;0118/2016/4600;06/04/2016;Oportunidade;;desconhecido;Rádio TELEBRAS;TELEBRAS;;;;desconhecido;Rádio TELEBRAS;Rua Santa Bárbara - s/n;;;77817-290;Daniel de Souza Vasconcelos;(61) 3316-1544;(61) 8354-396;Daniel.Vasconcelos@ibama.gov.br;R$ 12.572,39 ;16/06/2016;instalação;pend. comercial;30/05/2016 - Pendência comercial, aguardando OS definitiva para contratação de EILD
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;TOL3000003;IBAMA;L3;10;0;0119/2016/DC/4600;06/04/2016;Oportunidade;;desconhecido;Rádio TELEBRAS;TELEBRAS;;;;desconhecido;Rádio TELEBRAS;Av. Piauí -  2090 - Centro;;;;Daniel de Souza Vasconcelos;(61) 3316-1544;(61) 8354-396;Daniel.Vasconcelos@ibama.gov.br;R$ 12.572,39 ;16/06/2016;instalação;pend. implantação;"30/05/2016 - Pendência comercial, aguardando OS definitiva para contratação de EILD
23/05/2016 - Em viabilidade para atendimento por EILD / atendimento de rádio Telebras
16/05/2016 - Em viabilidade para atendimento por EILD / atendimento de rádio Telebras
09/05/2016 - Em viabilidade para atendimento por EILD / atendimento de rádio Telebras
02/05/2016 - Em viabilidade para atendimento por EILD / atendimento de rádio Telebras
25/04/2016 - Em viabilidade para atendimento por EILD / atendimento de rádio Telebras
18/04/2016 - Em viabilidade para atendimento por EILD / atendimento de rádio Telebras
11/04/2016 - Em agendamento de vistoria com o cliente.
05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias."
INSTITUTO BRASILEIRO DE MEIO AMBIENTE - IBAMA;TOL3000004;IBAMA;L3;10;0;0120/2016/DC/4600;06/04/2016;Oportunidade;;desconhecido;Fibra óptica TELEBRAS;TELEBRAS;;;;desconhecido;Fibra óptica TELEBRAS;ACSU-SE 40 - Conjunto 01 - Lote 6-A - Av. Teotônio Segurado - 1º e 2º Andares;;;77021-620;Daniel de Souza Vasconcelos;(61) 3316-1544;(61) 8354-396;Daniel.Vasconcelos@ibama.gov.br;R$ 12.572,39 ;16/06/2016;instalação;pend. implantação;"30/05/2016 - Pendência comercial, aguardando OS definitiva para contratação de EILD
23/05/2016 - Em viabilidade para atendimento por EILD / atendimento de rádio Telebras
16/05/2016 - Em viabilidade para atendimento por EILD / atendimento de rádio Telebras
09/05/2016 - Em viabilidade para atendimento por EILD / atendimento de rádio Telebras
02/05/2016 - Em viabilidade para atendimento por EILD / atendimento de rádio Telebras
25/04/2016 - Em viabilidade para atendimento por EILD / atendimento de rádio Telebras
18/04/2016 - Em viabilidade para atendimento por EILD / atendimento de rádio Telebras
11/04/2016 - Em agendamento de vistoria com o cliente.
05/04/2016 - Recebida OS da Comercial com os contatos técnicos do cliente para poder marcar as vistorias."
INSTITUTO BRASILEIRO DE TURISMO;DFAC000022;EMBRATUR;AC;100;100;01001/2014/DC/4600;30/04/2014;Contrato;26/05/2014;DFBSA0PP004;N/A;;Brasília;DF;;desconhecido;Fibra óptica TELEBRAS;SCN Qd 02, Bloco G, Térreo;;;;Luiz Carlos Batista;(61) 2023-8733;;luiz.batista@embratur.gov.br;R$ 15.834,91 ;00/00/0000;operação;mudança de configuração;"22/04/16 - Inclusão do bloco IPV6 realizada com sucesso
20/04/2016 - Inclusão de bloco IPV6"
INSTITUTO CAMPUS PARTY;SPAC000001;CAMPUS PARTY 1;AC;20000;0;066/2016/DC/4600;22/01/2016;Contrato;25/01/2016;SPBRE0PP001;N/A;;Barueri;SP;;desconhecido;Fibra óptica TELEBRAS;Av. Olavo Fontoura, 1209 - Parque do Anhembi;;;02012-021;Fabrício de Souza Duarte (Telebras);61 2027-1568;;fabricio.duarte@telebras.com.br;R$ 0,00 ;25/01/2016;desativado;desativado;01/02 - Recebido OS de desativação do circuito eventual.  Enviado para Engenharia de Dados a/c Marcus Yuri para desconfigurar o circuito
INSTITUTO CAMPUS PARTY;SPAC000002;CAMPUS PARTY 2;AC;20000;0;067/2016/DC/4600;22/01/2016;Contrato;;desconhecido;N/A;;;;;desconhecido;Fibra óptica TELEBRAS;Av. Olavo Fontoura, 1209 - Parque Anhembi;;;;Fabrício de Souza Duarte;2027-1568;;fabricio.duarte@telebras.com.br;R$ 0,00 ;25/01/2016;cancelado;cancelado;Cancelado, emitido indevidamente.
INSTITUTO FEDERAL DE EDUCAÇÃO,CIÊNCIAS E TECNOLOGIA DO CEARA;CEAC000004;IFCE;AC;20;20;843/2014/4500/4600;10/01/2014;Contrato;28/03/2014;CEMCW0PP001;N/A;POP Maracanaú CEFET;Maracanaú;CE;;CEMCW0PP001;Fibra óptica TELEBRAS;Av. do Contorno Norte, 10 - Distrito Industrial Bloco de Ensino I;Maracanaú;CE;;Anderson de Castro Lima;;(85) 8627-9939;anclima@gmail.com;R$ 0,00 ;00/00/0000;operação;ativado; 
INSTITUTO NACIONAL DE METEROLOGIA;DFAC000002;INMET;AC;0;0;;00/00/0000;Contrato;15/09/2011;DFBSA0PP001;Rádio TELEBRAS;;Brasília;DF;;DFBSA0PP001;Rádio TELEBRAS;;Brasília;DF;;;;;;R$ 0,00 ;00/00/0000;desativado;desativado;Circuito desativado. Sem documentação no Databook
INTELIG TELECOMUNICAÇÕES LTDA;PATX000008;INTELIG BLM-BSA 1;TX;10000;10000;01388/2014/DC/4600;14/11/2014;Contrato;28/11/2014;DFBSA0PP001;Fibra óptica TELEBRAS;POP TELEBRAS Brasília - SIA - Setor de Áreas Públicas Lote A,Trecho 1;Brasília;DF;;PABLM0PP001;Fibra óptica TELEBRAS;POP TELEBRAS Belém - Avenida Perimetral, 3300;Belém;PA;;Vanderson Jeronimo Santana;;(21) 98113-6085;vjsantana@timbrasil.com.br;R$ 0,00 ;00/00/0000;operação;ativado;28/11 - Aceite dado pelo Felipe da TIM. Email no Databook
INTELIG TELECOMUNICAÇÕES LTDA;PATX000009;INTELIG - BLM-FLA 1;TX;10000;10000;01389/2014/DC/4600;14/11/2014;Contrato;28/11/2014;CEFLA0PP001;Fibra óptica TELEBRAS;POP TELEBRAS Fortaleza - Avenida Presidente Costa e Silva, 4677;Fortaleza;CE;;PABLM0PP001;Fibra óptica TELEBRAS;POP TELEBRAS Belém  - Avenida Perimetral, 3300;Belém;PA;;Vanderson Jeronimo Santana;;(21) 98113-6085;vjsantana@timbrasil.com.br;R$ 0,00 ;00/00/0000;operação;ativado;Aceite dado pelo Raulysson
INTELIG TELECOMUNICAÇÕES LTDA;PATX000010;INTELIG - BLM-FLA 2;TX;10000;10000;01390/2014/DC/4600;14/11/2014;Contrato;17/12/2014;CEFLA0PP001;Fibra óptica TELEBRAS;POP TELEBRAS Fortaleza - Avenida Presidente Costa e Silva, 4677;Fortaleza;CE;;PABLM0PP001;Fibra óptica TELEBRAS;POP TELEBRAS Belém  - Avenida Perimetral, 3300;Belém;PA;;Vanderson Jeronimo Santana;;(21) 98113-6085;vjsantana@timbrasil.com.br;R$ 0,00 ;00/00/0000;operação;ativado;Aceite dado pelo Felipe Braz da TIM
INTELIG TELECOMUNICAÇÕES LTDA;PATX000011;INTELIG - BLM-FLA 3;TX;10000;1000;01391/2014/DC/4600;14/11/2014;Contrato;16/12/2014;CEFLA0PP001;Fibra óptica TELEBRAS;POP TELEBRAS Fortaleza - Avenida Presidente Costa e Silva, 4677;Fortaleza;CE;;PABLM0PP001;Fibra óptica TELEBRAS;POP TELEBRAS Belém - Avenida Perimetral, 3300;Belém;PA;;Vanderson Jeronimo Santana;;(21) 98113-6085;vjsantana@timbrasil.com.br;R$ 0,00 ;00/00/0000;operação;ativado;Aceite dado pelo Felipe Braz da TIM
INTELIG TELECOMUNICAÇÕES LTDA;PATX000012;INTELIG - BLM-FLA 4;TX;10000;10000;01392/2014/DC/4600;14/11/2014;Contrato;17/12/2014;CEFLA0PP001;Fibra óptica TELEBRAS;POP TELEBRAS Fortaleza - Avenida Presidente Costa e Silva, 4677;Fortaleza;CE;;PABLM0PP001;Fibra óptica TELEBRAS;POP TELEBRAS Belém - Avenida Perimetral, 3300;Belém;PA;;Vanderson Jeronimo Santana;;(21) 98113-6085;vjsantana@timbrasil.com.br;R$ 0,00 ;00/00/0000;operação;ativado;"Ativação Comercial porque TIM está sem FO em FLA.

Em 27/02/2015 TIM alinhou o canal. Histórico de emails no databook"
INTERFIBRAS TELECOMUNICAÇÕES LTDA - EPP;MTBL000003;INTERFIBRAS;BL;100;100;01758/2015/DC/4600;02/07/2015;Contrato;17/08/2015;MTROI0PP002;N/A;Pop da RNP de Rondonópolis;Rondonópolis;MT;;desconhecido;Fibra óptica Cliente;;;;;Andre Viana;(66) 3423-7300;(66) 9679-1434;andreviana@interfibras.com.br;R$ 9.487,00 ;25/07/2015;operação;ativado;17/08 - Cliente ativado somente no PW secundário. Avisar o NOC quando o primário estiver pronto para ativar.
INTERNEXA BRASIL OPERADORA DE TELECOMUNICAÇÕES S.A.;PRL2000014;INTERNEXA - SÃO MATEUS DO SUL-BARUERI;L2;1000;1000;01966/2015/DC/4600;00/00/0000;Contrato;08/01/2016;PRCTA0PP001;Fibra óptica Cliente;SE São Mateus do Sul- Rodovia PR 364 km 001 s/n;Curitiba;PR;83900-000;SPBRE0PM002;Fibra óptica Cliente;POP Metropolitano  ALOG Barueri  Alameda Araguaia, 3641, Tamboré;Barueri;SP;6455-000;Leandro Ribeiro;(11) 9880-78093;(11) 9539-43002;lribeiro@internexa.com;R$ 25.000,00 ;00/00/0000;operação;mudança de configuração;"08/01 - Esperando ser realizado jumper pela Eletrosul, para posteriormente ser configurado  circuito por uma nova rota

Mudança de configuração para redução de latência"
INTERNEXA BRASIL OPERADORA DE TELECOMUNICAÇÕES S.A.;RSL2000007;INTERNEXA - SANTA CRUZ DO SUL-BARUERI;L2;1000;0;01898/2015/DC/4600;21/09/2015;Contrato;;desconhecido;Fibra óptica Cliente;SE Santa Cruz do Sul- Av. Deputado Euclydes Nicolau Kliemann, 2756, Vila Nova;;;;desconhecido;Fibra óptica Cliente;POP Metropolitano  ALOG Barueri  Alameda Araguaia, 3641, Tamboré (Data Center 2  Bastidor Telebras RACK-AJ41);;;;Leandro Ribeiro;;(11) 9880-78093 / (11) 9539-43002;lribeiro@internexa.com;R$ 25.000,00 ;01/10/2015;instalação;pend. cliente;"30/05/2016 - Pendência cliente, aguardando cliente substituir GBIC (SFP)
24/05/2016 - Pendência cliente, aguardando cliente substituir GBIC (SFP)
11/05/2016 - Pendência cliente, aguardando cliente substituir GBIC (SFP)
03/05/2016 - Pendência cliente, aguardando cliente substituir GBIC (SFP)
26/04/2016 - Pendência cliente, aguardando cliente substituir GBIC (SFP)
19/04/2016 - Pendência cliente, aguardando cliente substituir GBIC (SFP)
12/04/2016 - Pendência cliente, aguardando cliente substituir GBIC (SFP)
05/04/2016 - Pendência cliente, aguardando cliente substituir GBIC (SFP)
29/03/2016 - Pendência cliente, aguardando cliente substituir GBIC (SFP)
21/03/2016 - Pendência cliente, aguardando cliente substituir GBIC (SFP)
14/03/2016 - Pendência cliente, aguardando cliente substituir GBIC (SFP)
07/03/2016 - Pendência cliente, aguardando cliente substituir GBIC (SFP)
14/12 - Pendência cliente, aguardando cliente substituir GBIC (SFP)
07/12 - Pendência cliente, aguardando cliente substituir GBIC (SFP)
16/11 - Pendência cliente, aguardando cliente substituir GBIC (SFP).
20/10 -  Problemas no gbic, cliente pede mais 30 dias para processo de aquisição."
INTERNEXA BRASIL OPERADORA DE TELECOMUNICAÇÕES S.A.;RSL2000008;INTERNEXA - SÃO LUIZ GONZAGA - PORTO ALEGRE;L2;200;0;01919/2015/DC/4600;30/09/2015;Contrato;;desconhecido;Fibra óptica Cliente;SE São Luiz Gonzaga - Estrada Linha Lageado s/n, Barrigudo;;;97800000;desconhecido;Fibra óptica Cliente;Rua General Bento Martins, 24/8o andar  Centro;;;90010080;Bruna Lassakoski Fontes;;(51) 9668-0078;blassakoski@internexa.com;R$ 5.000,00 ;15/10/2015;instalação;pend. comercial;"30/05/2016 - OS devolvida para o comercial, sem ação pela eng. de acesso. Necessário OS de CANCELAMENTO.
24/05/2016 - OS devolvida para o comercial, sem ação pela eng. de acesso. Necessário OS de CANCELAMENTO.
17/05/2016 - OS devolvida para o comercial, sem ação pela eng. de acesso. Necessário OS de CANCELAMENTO.
11/05/2016 - OS devolvida para o comercial, sem ação pela eng. de acesso. Necessário OS de CANCELAMENTO.
03/05/2016 - OS devolvida para o comercial, sem ação pela eng. de acesso. 
26/04/2016 - OS devolvida para o comercial, sem ação pela eng. de acesso. 
19/04/2016 - OS devolvida para o comercial, sem ação pela eng. de acesso. 
12/04/2016 - OS devolvida para o comercial, sem ação pela eng. de acesso. 
01/03/2016 - OS devolvida para o comercial, sem ação pela eng. de acesso.
02/02/2016 - OS devolvida para o comercial, sem ação pela eng. de acesso.
16/11 - OS devolvida para o comercial, sem ação pela eng. de acesso."
INTERNEXA BRASIL OPERADORA DE TELECOMUNICAÇÕES S.A.;RSL2000009;INTERNEXA - SANTANA DO LIVRAMENTO-BARUERI;L2;200;0;01972/2015/DC/4600;11/11/2015;Contrato;22/12/2015;RSSIV0PP001;Fibra óptica Cliente;SE Santana do Livramento LIV2  Avenida Prefeito Sergio Fuentes, 77, Registro;Santana do Livramento;RS;;SPBRE0PP001;Fibra óptica Cliente;POP Metropolitano  ALOG Barueri  Alameda Araguaia, 3641, Tamboré;Barueri;SP;06455-000;Leandro Ribeiro;(11) 2664-3475;(11) 9880-78093 / (11) 9539-43002;lribeiro@internexa.com;R$ 5.000,00 ;28/12/2015;desativado;desativado;30/05/2016 - Desativação do circuito.
