designacao;cliente;descricao;regional;tipo_servico;banda_contratada;banda_ativada;os_ativacao;data_os;tipo_os;data_ativacao;contrato;aditivo;estacaoA;ufA;estacaoB;ufB;valor;previsao;status;ultimo_evento
ROAC000001;CENTRO GESTOR E OPERACIONAL DO SISTEMA DE PROTEÇÃO DA AMAZÔNIA;CENSIPAM - AEROPORTO;Governo;AC;50;50;0233/2016/DC/4600;2016-04-05;Contrato;2016-06-20;****/*023/2015;;ROPVO0PM002;RO;;;9694.00;2016-01-01;operação;ativado
DFBL000017;Centro Oeste Telecom Ltda;CENTRO OESTE TELECOM;;BL;0;0;;2013-08-12;Contrato;2014-10-22;;;;DF;;;0.00;2016-01-01;cancelado;cancelado
RSBL000012;CERILUZ PROVEDORES DE INTERNET LTDA;CERILUZ;Porto Alegre;BL;100;100;0048/2016/DC/4600;2016-01-28;Contrato;2016-05-31;4770/014/2015;;;RS;;;0.00;2016-03-11;operação;ativado
DFL2000040;CIA DE PROCES. DE DADOS MUNICÍPIO DE PORTO ALEGRE;PROCEMPA;;L2;1;0;0217/2016/DC/4600;2016-03-23;Contrato;2016-01-01;;;DFBSA0PP001;DF;RSPAE0PM002;RS;0.00;2016-04-24;cancelado;cancelado
SPP2000001;CILNET COMUNICAÇÃO E INFORMATICA LTDA;CILNET - SOBRAL-BARUERI;;P2;1000;0;0097/2016/DC/4600;2016-02-02;Contrato;2016-01-01;;;CESOL0PP001;SP;;;11000.00;2016-04-18;cancelado;cancelado
AML2000001;CITEX - CENTRO INTEGRADO DE TELEMÁTICA DO EXÉRCITO;CITEX 4 - Temporário - BSA-MNS;;L2;30;0;01647/2015/DC/4600;2015-04-17;Contrato;2016-01-01;;;DFBSA0PP001;AM;AMMNS0TC004;AM;0.00;2016-01-01;cancelado;cancelado
DFAC000003;CITEX - CENTRO INTEGRADO DE TELEMÁTICA DO EXÉRCITO;CITEX 1;;AC;200;200;72/2012/DC/4600;2012-07-02;Contrato;2012-07-18;4400/003/2012;;DFBSA0PP001;DF;DFBSA0TC025;DF;19793.62;2016-01-01;operação;upgrade
DFAC000015;CITEX - CENTRO INTEGRADO DE TELEMÁTICA DO EXÉRCITO;CITEX 2;;AC;30;30;0504/2013/4400/4600;2013-07-09;Contrato;2013-07-18;10/2013;;DFBSA0PP001;DF;DFBSA0TC025;DF;7218.60;2016-01-01;operação;ativado
DFAC000016;CITEX - CENTRO INTEGRADO DE TELEMÁTICA DO EXÉRCITO;CITEX 3;;AC;30;30;0505/2013/4400/4600;2013-07-09;Contrato;2013-08-20;10/2013;;DFBSA0PP001;DF;DFBSA0TC025;DF;7218.79;2016-01-01;operação;ativado
DFL2000030;CITEX - CENTRO INTEGRADO DE TELEMÁTICA DO EXÉRCITO;CITEX 5 - Temporário BSA-BHE;;L2;100;0;01649/2015/DC/4600;2016-01-01;Contrato;2015-05-12;;;DFBSA0TC025;DF;MGBHE0TC016;MG;0.00;2016-01-01;desativado;desativado
RJAC000013;CITEX - CENTRO INTEGRADO DE TELEMÁTICA DO EXÉRCITO;CITEX - ILHA DAS COBRAS;;AC;30;0;0371/2016/DC/4600;2016-05-06;Contrato;2016-01-01;;;;RJ;;;0.00;2016-06-06;instalação;pend. comercial
RSL2000011;CITYDATA TELECOMUNICAÇÕES LTDA - ME;CITYDATA;Porto Alegre;L2;50;0;0002/2016/DC/4600;2016-01-04;Contrato;2016-01-01;4770/024/2015;;RSSMA0PP002;RS;RSSRO0PP001;RS;1350.00;2016-01-29;instalação;pend. comercial
DFBL000004;CLICK NET BRASIL INFORMÁTICA E TELECOMUNICAÇÕES;CLICK NET;Brasília;BL;100;0;002/2011/DC/4600;2016-01-01;Contrato;2011-12-06;;;DFBSA0PP005;DF;DFBSA0PP005;DF;0.00;2016-01-01;desativado;desativado
TOBL000024;CLICK NET BRASIL INFORMÁTICA E TELECOMUNICAÇÕES;CLICK NET - GURUPI;Brasília;BL;50;50;01579/2015/DC/4600;2015-03-12;Contrato;2015-04-02;4730/008/2015;;TOGUR0TR003;TO;TOGUR0TR003;TO;14249.47;2016-01-01;operação;desbloqueado
TOBL000028;CLICK NET BRASIL INFORMÁTICA E TELECOMUNICAÇÕES;CLICK NET - PARAÍSO DO TOCANTINS;Brasília;BL;50;50;00848/2013/DC/4600;2014-01-20;Contrato;2014-01-31;4730/001/2014;;TOPIT0TR001;TO;TOPIT0TR001;TO;13960.50;2016-01-01;bloqueado;bloqueado
GOBL000007;Clinic Informática Ltda;CLINIC INFORMÁTICA;;BL;0;0;;2016-01-01;Contrato;2012-06-15;;;GONQA0PP001;GO;GONQA0PP001;GO;0.00;2016-01-01;desativado;desativado
DFBL000014;COLINA SERVIÇOS DE TELECOMUNICAÇÕES;DFBSA0TR060 - COLINA;Brasília;BL;100;0;0202/2013/DC/4600;2013-04-15;Contrato;2013-06-21;4500/004/2013;;DFBSA0RR022;DF;DFBSA0TR060;DF;2132.02;2016-01-01;bloqueado;bloqueado
DFAC000018;COLOG - COMANDO LOGÍSTICO DO EXÉRCITO;QGEX COLOG - BLOCO C;Governo;AC;200;200;0824/2013/4400/4600;2013-12-26;Contrato;2014-02-12;242/2013 - COLOG;;DFBSA0PM019;DF;DFBSA0TC069;DF;22397.60;2016-01-01;operação;mudança de configuração
DFAC000019;COLOG - COMANDO LOGÍSTICO DO EXÉRCITO;QGEX COLOG - BLOCO H - INFORMÁTICA;Governo;AC;100;100;0825/2013/4400/4600;2013-12-26;Contrato;2014-02-12;242/2013 - COLOG;;DFBSA0PM019;DF;DFBSA0TC068;DF;16471.31;2016-01-01;operação;mudança de configuração
DFAC000020;COLOG - COMANDO LOGÍSTICO DO EXÉRCITO;QGEX COLOG - BLOCO H - CCOF;Governo;AC;100;100;0826/2013/4400/4600;2013-12-26;Contrato;2014-02-12;242/2013 - COLOG;;DFBSA0PM019;DF;DFBSA0TC069;DF;16471.31;2016-01-01;operação;mudança de configuração
AML3000001;COMAER - COMANDO DA AERONAUTICA;COMAER - CINDACTA IV;Governo;L3;100;50;01513/2015/DC/4600;2015-01-29;Contrato;2016-04-08;046/CISCEA/2015;;AMMNS0PP002;AM;;;76857.48;2015-06-16;operação;downgrade
AML3000006;COMAER - COMANDO DA AERONAUTICA;COMAER - CINDACTA IV - VRF_2;Governo;L3;50;50;0407/2016/DC/4600;2016-05-19;Contrato;2016-06-09;046/CISCEA/2015;;AMMNS0PP002;AM;;;0.00;2016-05-31;operação;ativado
DFL3000001;COMAER - COMANDO DA AERONAUTICA;COMAER - CINDACTA I;Governo;L3;100;50;01504/2015/DC/4600;2015-01-28;Contrato;2016-04-08;046/CISCEA/2014;;DFBSA0PP004;DF;DFBSA0TC039;DF;76857.48;2015-02-01;operação;downgrade
DFL3000036;COMAER - COMANDO DA AERONAUTICA;COMAER - CINDACTA I - VRF_2;Governo;L3;50;50;0406/2016/DC/4600;2016-05-19;Contrato;2016-06-09;046/CISCEA/2014;;DFBSA0PP004;DF;;;0.00;2016-05-31;operação;ativado
PEL3000001;COMAER - COMANDO DA AERONAUTICA;COMAER - CINDACTA III;Governo;L3;100;50;01514/2015/DC/4600;2015-01-29;Contrato;2016-04-08;046/CISCEA/2015;;PERCE0PM005;PE;;;76857.48;2015-06-16;operação;downgrade
PEL3000007;COMAER - COMANDO DA AERONAUTICA;COMAER - CINDACTA III - VRF_2;Governo;L3;50;50;0405/2016/DC/4600;2016-05-19;Contrato;2016-06-10;046/CISCEA/2014;;PERCE0PM005;PE;;;0.00;2016-05-31;operação;ativado
PRL3000001;COMAER - COMANDO DA AERONAUTICA;COMAER - CINDACTA II;Governo;L3;100;50;01512/2015/DC/4600;2015-01-29;Contrato;2016-04-08;046/CISCEA/2015;;SCFNS0PP001;PR;;;76857.48;2015-06-16;operação;downgrade
PRL3000003;COMAER - COMANDO DA AERONAUTICA;COMAER - CINDACTA II - VRF_2;Governo;L3;50;50;0404/2016/DC/4600;2016-05-19;Contrato;2016-06-10;046/CISCEA/2015;;SCFNS0PP001;PR;;;0.00;2016-05-31;operação;ativado
RJL3000001;COMAER - COMANDO DA AERONAUTICA;COMAER - DTCEATM-RJ;Governo;L3;100;50;01505/2015/DC/4600;2015-01-28;Contrato;2016-04-08;046/CISCEA/2014;;RJRJO0PM012;RJ;;;76857.48;2015-03-16;operação;downgrade
RJL3000015;COMAER - COMANDO DA AERONAUTICA;COMAER - DTCEATM-RJ - VRF_2;Governo;L3;10;50;0403/2016/DC/46;2016-05-19;Contrato;2016-06-13;046/CISCEA/2014;;;RJ;;;0.00;2016-05-31;operação;ativado
SPL3000001;COMAER - COMANDO DA AERONAUTICA;COMAER - ICEA-SP;Governo;L3;100;50;01516/2015/DC/4600;2015-01-29;Contrato;2016-04-08;046/CISCEA/2015;;SPTTE0PP001;SP;SPSJC0TC004;SP;76857.48;2015-05-16;operação;downgrade
SPL3000002;COMAER - COMANDO DA AERONAUTICA;COMAER - SRPV - SP;Governo;L3;100;50;01515/2015/DC/4600;2015-01-29;Contrato;2016-04-08;046/CISCEA/2015;;SPBRE0PP001;SP;;;76857.48;2015-04-16;operação;downgrade
SPL3000008;COMAER - COMANDO DA AERONAUTICA;COMAER - SRPV - SP - VRF_2;Governo;L3;50;50;0401/2016/DC/4600;2016-05-19;Contrato;2016-06-13;046/CISCEA/2015;;SPBRE0PP001;SP;;;0.00;2016-05-31;operação;ativado
SPL3000009;COMAER - COMANDO DA AERONAUTICA;COMAER - ICEA-SP - VRF_2;Governo;L3;50;50;0402/2016/DC/4600;2016-05-19;Contrato;2016-06-13;046/CISCEA/2015;;;SP;;;0.00;2016-05-31;operação;ativado
PAAC000005;COMANDO DA 8ª REGIAO MILITAR E 8ª DIVISAO DO EXERCITO;COMANDO 8ª RM (41º CT);;AC;100;0;01064/2014/DC/4600;2014-05-15;Contrato;2014-08-26;;;PABLM0PM002;PA;PABLM0TC004;PA;19893.07;2016-01-01;desativado;desativado
AMAC000005;COMANDO DO COMANDO MILITAR DA AMAZÔNIA;CMA - 4º CTA - MANAUS;Governo;AC;60;60;01346/2014/DC/4600;2014-10-09;Contrato;2014-12-12;4740/042/2014;;AMMNS0PP002;AM;AMMNS0TC013;AM;20904.64;2016-01-01;operação;ativado
DFAC000064;COMANDO DO EXERCITO;CDCIBER;;AC;100;100;0296/2016/DC/4600;2016-04-18;Contrato;2016-06-14;;;DFBSA0PP004;DF;;;10400.00;2016-04-29;operação;ativado
RSAC000005;COMANDO MILITAR SUL;COMANDO MILITAR SUL;;AC;100;100;0937/2014/DC/4600;2014-03-26;Contrato;2014-04-28;;;RSPAE0PM002;RS;RSPAE0TC002;RS;16427.14;2016-01-01;operação;ativado
MGBL000008;Comarca Piumhi Ltda;COMARCA PIUMHI - FURNAS;;BL;200;0;0134/2012/DC/4600;2016-01-01;Contrato;2012-12-17;;;MGSJBATR001;MG;MGSJBATR001;MG;0.00;2016-01-01;desativado;desativado
MGBL000017;Comarca Piumhi Ltda;COMARCA PIUMHI - PIMENTA;;BL;100;0;;2013-11-28;Contrato;2014-03-25;;;MGPMN0PP001;MG;MGPMN0PP001;MG;0.00;2016-01-01;desativado;desativado
PABL000005;COMPUSERVICE EMPREENDIMENTOS LTDA;COMPUSERVICE;;BL;300;0;063/2012/DC/4600;2012-10-16;Contrato;2012-10-25;;;PABLM0PM002;PA;PABLM0PM002;PA;27000.00;2016-01-01;bloqueado;bloqueado
MTBL000004;CONDOMINIO BELVEDERE;CONDOMINIO BELVEDERE;Brasília;BL;200;0;0109/2016/DC/4600;2016-02-03;Contrato;2016-01-01;4730/001/2016;;MTCBA0PP001;MT;;;16954.00;2016-01-01;instalação;pend. implantação
ESBL000010;CONECTMAIS COMUNICAÇÕES LTDA. ME;CONECTMAIS;;BL;200;200;0228/2016/Dc/4600;2016-03-31;Contrato;2016-05-19;;;ESSEA0PP002;ES;;;7368.64;2016-04-22;operação;ativado
GOBL000001;CONNECTION MULTIMÍDIA TELECOMUNICAÇÕES  LTDA;SADNET;Brasília;BL;150;150;005/2011/DC/4600;2011-07-18;Contrato;2011-07-18;4500-139/2012;;DFBSA0PP002;GO;GOSADDTR002;GO;9187.50;2016-01-01;operação;upgrade
GOBL000003;CONNECTION MULTIMÍDIA TELECOMUNICAÇÕES  LTDA;SADNET;Brasília;BL;0;0;;2016-01-01;Contrato;2011-09-14;;;GOSADDTR001;GO;GOSADDTR001;GO;0.00;2016-01-01;desativado;desativado
PABL000020;COONEXÃO TELECOM E INFORMÁTICA EIRELI;COONEXAO INFORMATICA;;BL;100;100;01975/2015/DC/4600;2015-11-12;Contrato;2016-01-22;;;PAMBA0PP002;PA;PAMBA0PP002;PA;8600.00;2015-11-30;operação;upgrade
PRL2000005;COPEL TELECOMUNICAÇÕES S/A;COPEL LDA-ARQ;;L2;0;0;;2013-11-19;Contrato;2014-08-18;;;;PR;;;0.00;2016-01-01;cancelado;cancelado
PRL2000007;COPEL TELECOMUNICAÇÕES S/A;COPEL LDA-ARQ;;L2;1000;0;0846/DC/2014/4600;2014-01-15;Contrato;2014-08-18;;;;PR;;;0.00;2016-01-01;cancelado;cancelado
PRL2000008;COPEL TELECOMUNICAÇÕES S/A;COPEL - CTA-BRE;;L2;10000;0;847/2014/DC/4600;2014-01-15;Contrato;2014-08-18;;;;PR;;;0.00;2016-01-01;cancelado;cancelado
RSBL000001;COPREL TELECOM LTDA;COPREL;;BL;1000;1000;026/2012/DC/4600;2012-08-01;Contrato;2012-11-06;;;RSPAS0PP002;RS;RSPAS0PP002;RS;60330.00;2016-01-01;operação;mudança de configuração
GOBL000040;CRISTIANO NUNES DA SILVA - ME;CRISTIANO NUNES;;BL;100;0;0561/2016/DC/4600;2016-06-29;Contrato;2016-01-01;4730/008/2016;;GOMNI0PP001;GO;;;8767.00;2016-07-25;instalação;pend. implantação
TOBL000010;CST SERVIÇOS DE INTERNET LTDA-ME;CST INTERNET;Brasília;BL;1500;700;015/2011/DC/4600;2013-01-29;Contrato;2013-07-01;4500/158/2012;5;TOGUR0TR003;TO;TOGUR0TR003;TO;31500.00;2016-01-01;operação;trânsito
PRCI000001;CTBC MULTIMÍDIA DATA NET S/A;ALGAR - REPAR-DR.ULISSES;;CI;0;0;0674/2013/4400/4600;2012-03-13;Contrato;2013-11-08;;;PRAUC0PP001;PR;PRDRUSPP001;PR;0.00;2016-01-01;operação;ativado
PRCI000002;CTBC MULTIMÍDIA DATA NET S/A;ALGAR - Dr.ULISSES-CSE 29;;CI;0;0;0676/2013/4400/4600;2012-03-13;Contrato;2013-11-08;;;PRDRUSPP001;PR;;;0.00;2016-01-01;operação;ativado
SPCI000001;CTBC MULTIMÍDIA DATA NET S/A;ALGAR - REPLAN-TATUÍ;;CI;0;0;0673/2013/4400/4600;2012-03-13;Contrato;2013-11-08;;;SPARD0PP001;SP;SPPLA0PP001;SP;0.00;2016-01-01;operação;ativado
PABL000034;D & D INFORMATICA LTDA - ME;D & D INFORMATICA;Belém;BL;500;0;0337/2016/DC/4600;2016-04-26;Contrato;2016-01-01;4740/010/2016;;PATLA0PP002;PA;;;36500.00;2016-05-26;instalação;agendado
DFAC000039;DATAPREV - EMPRESA DE TECNOLOGIA E INFORMACOES DA PREVIDENCIA SOCIAL;DATAPREV - SEDE;N/A;AC;300;300;0325/2016/DC/4600;2015-06-25;Contrato;2016-04-08;;;;DF;;;0.00;2015-07-30;operação;pend. implantação
RJAC000008;DATAPREV - EMPRESA DE TECNOLOGIA E INFORMACOES DA PREVIDENCIA SOCIAL;DATAPREV - CPRJ - COSME VELHO;N/A;AC;30;0;0917/2014/4400/4600;2014-03-11;Contrato;2015-05-04;;;RJRJO0PM002;RJ;;;0.00;2016-01-01;desativado;desativado
RJAC000012;DATAPREV - EMPRESA DE TECNOLOGIA E INFORMACOES DA PREVIDENCIA SOCIAL;DATAPREV - CPRJ;N/A;AC;300;0;0128/2016/DC/4600;2016-02-23;Oportunidade;2016-01-01;;;;RJ;;;0.00;2016-05-25;instalação;pend. comercial
RJL2000006;DATAPREV - EMPRESA DE TECNOLOGIA E INFORMACOES DA PREVIDENCIA SOCIAL;DATAPREV - COSME VELHO-BOTAFOGO;N/A;L2;100;0;0917/2014/4400/4600;2014-03-11;Contrato;2015-04-10;;;RJRJO0PM002;RJ;RJRJO0PM002;RJ;0.00;2016-01-01;desativado;desativado
CEL2000001;DB3 SERVIÇOS DE TELECOMUNICAÇÕES;DB3 TELECOM;;L2;3000;3000;01576/2015/DC/4600;2015-03-09;Contrato;2015-05-21;;;CEFLA0PP001;CE;MASLS0PP001;MA;54214.51;2016-01-01;operação;ativado
RSBL000003;DBSERVER ASSESSORIA E SISTEMA DE INFORMAÇÃO;DBSERVER;;BL;20;20;01989/2015/DC/4600;2015-11-20;Contrato;2015-12-02;;;RSPAE0PM001;RS;;;2300.00;2015-12-24;operação;ativado
RSBL000008;DE ALMEIDA E MENSCH - PROVEDOR DE INTERNET LTDA;DE ALMEIDA E MENSCH;;L2;200;200;02054/2015/DC/4600;2015-12-17;Contrato;2016-06-06;;;;RS;;;7600.00;2016-02-01;operação;ativado
TOBL000016;DELTA BROADBAND TELECOM PROVEDORES INTERNET;DELTA BROADBAND;;BL;100;100;0218/2013/DC/4600;2013-04-09;Contrato;2013-06-26;;;TOGUR0TR003;TO;TOSCURTR001;TO;13295.00;2016-01-01;operação;upgrade
DFAC000021;DEPARTAMENTO DE POLÍCIA RODOVIÁRIA FEDERAL;DPRF;;AC;200;200;01594/2015/DC/4600;2015-03-19;Contrato;2015-09-18;;;DFBSA0PP001;DF;;;18643.64;2015-06-17;operação;ativado
DFAC000008;DEPARTAMENTO GERAL DO PESSOAL - COMANDO DO EXÉRCITO;EXERCITO DGP;;AC;100;100;01557/2015/DC/4600;2015-03-03;Contrato;2015-04-14;;;DFBSA0PP001;DF;DFBSA0TC040;DF;16234.91;2016-01-01;operação;ativado
GOBL000006;DL SOUZA E CIA LTDA;DL-SOUZA;;BL;0;0;;2016-01-01;Contrato;2012-04-02;;;GOACG0TR001;GO;GOACG0TR001;GO;0.00;2016-01-01;desativado;desativado
GOBL000022;DYNATEC INFORMATICA LTDA - ME;DYNATEC INFO;;BL;100;20;0502/2013/DC/4600;2013-07-08;Contrato;2013-07-30;;;GOGTB0TR001;GO;GOGTB0TR001;GO;0.00;2016-01-01;desativado;desativado
TOBL000015;E. MARCIANO DA SILVA E CIA LTDA;E. MARCIANO;;BL;150;150;01578/2015/DC/4600;2015-03-12;Contrato;2015-03-24;;;TOARN0PP001;TO;;;12675.00;2016-01-01;operação;trânsito
RSBL000005;EBER DEJANI PEREIRA DE ALBERNAZ E CIA LTDA - ME;EBER DEJANI;;BL;500;300;01960/2015/DC/4600;2015-11-05;Contrato;2016-01-20;;;;RS;;;18500.00;2015-12-18;operação;ativado
DFCI000003;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE - BSA GERAL-SAMAMBAIA;;CI;0;0;01101/2014/DC/4600;2014-06-04;Contrato;2014-07-18;;;DFBSA0PP002;DF;DFBSA0PP001;DF;0.00;2016-01-01;operação;ativado
DFTX000040;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE - BRASÍLIA-IMPERATRIZ;;TX;10000;10000;0273/2016/DC/4600;2016-04-14;Contrato;2016-05-05;;;DFBSA0PP001;DF;MAITZ0PP001;MA;0.00;2016-04-29;operação;ativado
MATX000001;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE - IMPERATRIZ-BRASÍLIA 1;;TX;10000;10000;1444 /2014/DC/4400/4600;2014-12-15;Contrato;2014-12-24;;;MAITZ0PP001;MA;DFBSA0PP001;DF;0.00;2016-01-01;operação;ativado
MATX000002;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE - IMPERATRIZ-BRASÍLIA 2;;TX;10000;0;1445 /2014/DC/4400/4600;2014-12-15;Contrato;2014-12-24;;;MAITZ0PP001;MA;DFBSA0PP001;DF;0.00;2016-01-01;desativado;desativado
MATX000003;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE;;TX;0;0;;2016-01-01;Contrato;2016-01-01;;;;MA;;;0.00;2016-01-01;bloqueado;bloqueado
MATX000004;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE;;TX;0;0;;2016-01-01;Contrato;2016-01-01;;;;MA;;;0.00;2016-01-01;bloqueado;bloqueado
MTTX000001;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE - BARRA DO PEIXE-BRASILIA 1;;TX;10000;10000;1446 /2014/DC/4400/4600;2014-12-15;Contrato;2014-12-24;;;MTRIBHPP001;MT;DFBSA0PP001;DF;0.00;2016-01-01;operação;ativado
MTTX000002;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE - BARRA DO PEIXE-BRASILIA 2;;TX;10000;10000;1447 /2014/DC/4400/4600;2014-12-15;Contrato;2014-12-24;;;MTRIBHPP001;MT;DFBSA0PP001;DF;0.00;2016-01-01;operação;ativado
MTTX000003;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE - BARRA DO PEIXE-BRASILIA 3;;TX;10000;10000;1448/2014/DC/4400/4600;2014-12-15;Contrato;2014-12-24;;;MTRIBHPP001;MT;DFBSA0PP001;DF;0.00;2016-01-01;operação;mudança de configuração
MTTX000009;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE - BARRA DO PEIXE-BRASILIA 4;;TX;10000;10000;01783/2015/DC/4600;2015-07-20;Contrato;2015-09-17;;;DFBSA0PP001;MT;MTRIBHPP001;MT;0.00;2015-08-15;operação;ativado
PATX000007;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE  - MANAUS-TUCURUÍ;;TX;10000;0;01275/2014/DC/4600;2014-10-22;Contrato;2016-01-01;;;AMMNS0PP004;PA;PATUU0CX002;PA;0.00;2014-11-27;instalação;pend. cliente
TOTX000001;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE;;TX;0;0;;2016-01-01;Contrato;2016-01-01;;;;TO;;;0.00;2016-01-01;bloqueado;bloqueado
TOTX000002;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE;;TX;0;0;;2016-01-01;Contrato;2016-01-01;;;;TO;;;0.00;2016-01-01;bloqueado;bloqueado
TOTX000003;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE;;TX;0;0;;2016-01-01;Contrato;2016-01-01;;;;TO;;;0.00;2016-01-01;bloqueado;bloqueado
TOTX000004;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE;;TX;0;0;;2016-01-01;Contrato;2016-01-01;;;;TO;;;0.00;2016-01-01;bloqueado;bloqueado
TOTX000005;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE;;TX;0;0;;2016-01-01;Contrato;2016-01-01;;;;TO;;;0.00;2016-01-01;bloqueado;bloqueado
TOTX000006;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE;;TX;0;0;;2016-01-01;Contrato;2016-01-01;;;;TO;;;0.00;2016-01-01;bloqueado;bloqueado
TOTX000007;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE;;TX;0;0;;2016-01-01;Contrato;2016-01-01;;;;TO;;;0.00;2016-01-01;bloqueado;bloqueado
TOTX000008;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE;;TX;0;0;;2016-01-01;Contrato;2016-01-01;;;;TO;;;0.00;2016-01-01;bloqueado;bloqueado
TOTX000009;ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;ELETRONORTE;;TX;0;0;;2016-01-01;Contrato;2016-01-01;;;;TO;;;0.00;2016-01-01;bloqueado;bloqueado
DFL2000012;ELETROSUL CENTRAIS ELÉTRICAS S.A.;ELETROSUL LDA-BSA VARIG;;L2;1000;1000;0253/2013/DC/4600;2013-04-26;Contrato;2013-07-10;;;PRLDA0PP001;DF;;;0.00;2016-01-01;operação;ativado
DFL2000017;ELETROSUL CENTRAIS ELÉTRICAS S.A.;ELETROSUL BSA-RJO;;L2;1000;1000;0526/2013/DC/4400;2013-07-29;Contrato;2014-03-10;;;DFBSA0PP004;DF;RJRJO0PM002;RJ;0.00;2016-01-01;operação;ativado
PRAC000002;ELETROSUL CENTRAIS ELÉTRICAS S.A.;ELETROSUL LONDRINA;;AC;130;130;0198/2013/DC/4600;2013-04-12;Contrato;2013-05-03;;;PRLDA0PP001;PR;PRLDA0PP001;PR;0.00;2016-01-01;operação;ativado
PRL2000003;ELETROSUL CENTRAIS ELÉTRICAS S.A.;ELETROSUL LDA-RJO;;L2;1000;1000;0739/2013/4400/4600;2013-10-16;Contrato;2014-03-10;;;PRLDA0PP001;PR;RJRJO0PM002;RJ;0.00;2016-01-01;operação;ativado
RJL2000004;ELETROSUL CENTRAIS ELÉTRICAS S.A.;ELETROSUL RJO-RJO;;L2;1000;1000;0527/2013/DC/4400;2013-07-29;Contrato;2014-03-10;;;RJRJO0PM012;RJ;RJRJO0PM002;RJ;0.00;2016-01-01;operação;ativado
ROTX000002;ELETROSUL CENTRAIS ELÉTRICAS S.A.;ELETROSUL - PVO-ARQ 1;;TX;1000;1000;0278/2013/4400/4600;2013-05-20;Contrato;2013-08-12;;;ROPVO0PM001;RO;SPARQ0PP001;SP;0.00;2016-01-01;operação;ativado
ROTX000003;ELETROSUL CENTRAIS ELÉTRICAS S.A.;ELETROSUL - PVO-ARQ 2;;TX;1000;1000;0279/2013/4400/4600;2013-05-20;Contrato;2013-08-12;;;SPARQ0PP001;RO;ROPVO0PM001;RO;0.00;2016-01-01;operação;ativado
DFL3000034;EMPRESA BRASIL DE COMUNICAÇÃO - EBC;EBC - BRASÍLIA;N/A;L3;100;0;0148/2016/DC/4600;2016-05-16;Oportunidade;2016-01-01;;;;DF;;;0.00;2016-07-01;instalação;pend. implantação
DFL3000035;EMPRESA BRASIL DE COMUNICAÇÃO - EBC;EBC - BRASÍLIA;N/A;L3;100;0;0149/2016/DC/4600;2016-05-16;Oportunidade;2016-01-01;;;;DF;;;0.00;2016-07-01;instalação;pend. implantação
RJL3000014;EMPRESA BRASIL DE COMUNICAÇÃO - EBC;EBC - RIO DE JANEIRO;N/A;L3;100;0;0150/2016/DC/4600;2016-05-16;Oportunidade;2016-01-01;;;;RJ;;;0.00;2016-07-01;instalação;pend. comercial
DFAC000030;EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS;CORREIO SEDE SBN;;AC;365;365;01728/2015/DC/4600;2015-06-15;Contrato;2015-07-02;;;DFBSA0PM012;DF;DFBSA0TC042;DF;0.00;2015-07-30;operação;mudança de configuração
DFL3000020;EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS;CORREIOS - SERPRO SEDE;;L3;10;0;0100/2015/DC/4600;2015-12-04;Oportunidade;2016-01-01;;;;DF;;;0.00;2016-02-14;cancelado;cancelado
DFL3000021;EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS;CORREIOS - SEDE;;L3;10;0;0101/2015/DC/4600;2015-12-04;Oportunidade;2016-01-01;;;;DF;;;0.00;2016-02-14;cancelado;cancelado
